Time (s)	Actin	[G-act]	[A208W]	[G-act] (t)
5045.02	1.74E-06	0.000002	0	2.55219E-07
5055.01	1.75E-06	0.000002	0	2.45643E-07
5065.02	1.75E-06	0.000002	0	2.5184E-07
5075.01	1.76E-06	0.000002	0	2.38915E-07
5085.02	1.76E-06	0.000002	0	2.4184E-07
5095.01	1.76E-06	0.000002	0	2.42121E-07
5105.01	1.77E-06	0.000002	0	2.34205E-07
5115.01	1.76E-06	0.000002	0	2.36508E-07
5125.01	1.77E-06	0.000002	0	2.3467E-07
5135.01	1.77E-06	0.000002	0	2.34546E-07
5145.01	1.77E-06	0.000002	0	2.31752E-07
5155.02	1.75E-06	0.000002	0	2.48668E-07
5165.02	1.76E-06	0.000002	0	2.44123E-07
5175.01	1.77E-06	0.000002	0	2.27237E-07
5185.01	1.77E-06	0.000002	0	2.31072E-07
