Time (s)	[F-actin] M	[G-act]	[G-act] (t)
2425.01	4.89363E-06	0.000005	1.06367E-07
2435.03	4.86995E-06	0.000005	1.30046E-07
2445.01	4.88537E-06	0.000005	1.14625E-07
2455.02	4.85871E-06	0.000005	1.41293E-07
2465.02	4.87576E-06	0.000005	1.24244E-07
2475.02	4.87265E-06	0.000005	1.2735E-07
2485.01	4.87108E-06	0.000005	1.28922E-07
2495.01	4.8879E-06	0.000005	1.12098E-07
2505.03	4.86373E-06	0.000005	1.36266E-07
2515.01	4.88232E-06	0.000005	1.17684E-07
2525.01	4.88178E-06	0.000005	1.18221E-07
2535.02	4.873E-06	0.000005	1.26999E-07
2545.01	4.89047E-06	0.000005	1.09534E-07
2555.02	4.86018E-06	0.000005	1.39817E-07
2565.01	4.86488E-06	0.000005	1.35122E-07
2575.01	4.87552E-06	0.000005	1.24481E-07
2585.01	4.84875E-06	0.000005	1.5125E-07
2595.03	4.86202E-06	0.000005	1.37976E-07
2605.02	4.8768E-06	0.000005	1.23202E-07
2615.01	4.86271E-06	0.000005	1.37289E-07
2625.02	4.83654E-06	0.000005	1.63462E-07
2635.02	4.87774E-06	0.000005	1.22264E-07
2645.02	4.86418E-06	0.000005	1.35824E-07
2655.01	4.86715E-06	0.000005	1.32846E-07
2665.03	4.86558E-06	0.000005	1.34423E-07
2675.01	4.86279E-06	0.000005	1.37207E-07
2685.02	4.84004E-06	0.000005	1.59961E-07
2695.01	4.85673E-06	0.000005	1.43269E-07
2705.01	4.86326E-06	0.000005	1.36738E-07
2715.01	4.85717E-06	0.000005	1.42834E-07
2725.01	4.85824E-06	0.000005	1.41764E-07
2735.01	4.87344E-06	0.000005	1.26564E-07
2745.02	4.86842E-06	0.000005	1.31583E-07
2755.02	4.86622E-06	0.000005	1.33778E-07
2765.01	4.88021E-06	0.000005	1.19789E-07
2775.02	4.87393E-06	0.000005	1.2607E-07
2785.02	4.86516E-06	0.000005	1.34838E-07
2795.02	4.8737E-06	0.000005	1.26302E-07
2805.02	4.85687E-06	0.000005	1.4313E-07
2815.02	4.87995E-06	0.000005	1.20045E-07
2825.03	4.85621E-06	0.000005	1.43794E-07
2835.01	4.82818E-06	0.000005	1.71815E-07
2845.02	4.85716E-06	0.000005	1.42841E-07
2855.02	4.85815E-06	0.000005	1.41848E-07
