Time (s)	[F-actin] M	[G-act] (0)	[G-act] (t)
2955.02	1.61076E-06	0.000002	3.89243E-07
2965.01	1.62216E-06	0.000002	3.7784E-07
2975.01	1.62833E-06	0.000002	3.7167E-07
2985.01	1.62907E-06	0.000002	3.70929E-07
2995.02	1.63564E-06	0.000002	3.64365E-07
3005.03	1.62892E-06	0.000002	3.71083E-07
3015.02	1.63451E-06	0.000002	3.65491E-07
3025.02	1.631E-06	0.000002	3.69E-07
3035.01	1.62939E-06	0.000002	3.70614E-07
3045.01	1.63747E-06	0.000002	3.62529E-07
3055.01	1.64917E-06	0.000002	3.50828E-07
3065.01	1.65601E-06	0.000002	3.43993E-07
3075.01	1.65651E-06	0.000002	3.43491E-07
3085.01	1.66734E-06	0.000002	3.32657E-07
3095.01	1.65149E-06	0.000002	3.4851E-07
3105.01	1.6693E-06	0.000002	3.30697E-07
3115.01	1.66084E-06	0.000002	3.39158E-07
3125.02	1.66194E-06	0.000002	3.38063E-07
3135.01	1.67109E-06	0.000002	3.28909E-07
3145.02	1.67304E-06	0.000002	3.26961E-07
3155.01	1.67959E-06	0.000002	3.20413E-07
3165.03	1.67809E-06	0.000002	3.21908E-07
3175.01	1.67465E-06	0.000002	3.25348E-07
3185.02	1.68336E-06	0.000002	3.16643E-07
3195.02	1.68562E-06	0.000002	3.14376E-07
3205.01	1.69149E-06	0.000002	3.08514E-07
3215.02	1.6868E-06	0.000002	3.13204E-07
3225.01	1.68763E-06	0.000002	3.12375E-07
3235.03	1.70421E-06	0.000002	2.95793E-07
3245.02	1.69905E-06	0.000002	3.00948E-07
3255.02	1.69187E-06	0.000002	3.08128E-07
3265.02	1.68963E-06	0.000002	3.10369E-07
3275.01	1.70832E-06	0.000002	2.91681E-07
3285.01	1.70792E-06	0.000002	2.92078E-07
3295.01	1.7052E-06	0.000002	2.94801E-07
3305.02	1.70825E-06	0.000002	2.91754E-07
3315.02	1.70497E-06	0.000002	2.95034E-07
3325.02	1.71728E-06	0.000002	2.8272E-07
3335.01	1.71364E-06	0.000002	2.86358E-07
3345.02	1.71208E-06	0.000002	2.87919E-07
3355.01	1.71723E-06	0.000002	2.82774E-07
3365.02	1.71435E-06	0.000002	2.85652E-07
3375.02	1.71255E-06	0.000002	2.87454E-07
3385.02	1.73716E-06	0.000002	2.62839E-07
3395.03	1.72948E-06	0.000002	2.70519E-07
3405.02	1.72083E-06	0.000002	2.79171E-07
3415.02	1.7255E-06	0.000002	2.74498E-07
3425.02	1.74354E-06	0.000002	2.56458E-07
3435.02	1.73146E-06	0.000002	2.68541E-07
3445.02	1.73244E-06	0.000002	2.67555E-07
3455.01	1.73015E-06	0.000002	2.69851E-07
3465.02	1.73654E-06	0.000002	2.63459E-07
3475.02	1.73211E-06	0.000002	2.67885E-07
3485.03	1.74712E-06	0.000002	2.52878E-07
3495.02	1.75403E-06	0.000002	2.45966E-07
3505.03	1.74157E-06	0.000002	2.58432E-07
3515.01	1.74487E-06	0.000002	2.55131E-07
3525.01	1.74779E-06	0.000002	2.52214E-07
3535.02	1.76219E-06	0.000002	2.37808E-07
3545.01	1.75913E-06	0.000002	2.40868E-07
3555.01	1.7581E-06	0.000002	2.419E-07
3565.01	1.74926E-06	0.000002	2.50738E-07
3575.02	1.76998E-06	0.000002	2.30019E-07
3585.01	1.75922E-06	0.000002	2.40783E-07
3595.01	1.7708E-06	0.000002	2.29201E-07
3605.02	1.75541E-06	0.000002	2.44593E-07
3615.02	1.76795E-06	0.000002	2.3205E-07
3625.01	1.77138E-06	0.000002	2.28616E-07
3635.01	1.77252E-06	0.000002	2.27478E-07
3645.02	1.76753E-06	0.000002	2.32467E-07
3655.01	1.78098E-06	0.000002	2.19019E-07
3665.01	1.7825E-06	0.000002	2.17503E-07
3675.01	1.77143E-06	0.000002	2.2857E-07
3685.02	1.77406E-06	0.000002	2.25944E-07
3695.01	1.78009E-06	0.000002	2.19908E-07
3705.01	1.78602E-06	0.000002	2.13978E-07
3715.03	1.79301E-06	0.000002	2.06993E-07
3725.01	1.78361E-06	0.000002	2.16389E-07
3735.03	1.78288E-06	0.000002	2.17118E-07
3745.01	1.79642E-06	0.000002	2.03581E-07
3755.01	1.78368E-06	0.000002	2.16316E-07
3765.01	1.80337E-06	0.000002	1.96634E-07
3775.02	1.80265E-06	0.000002	1.97349E-07
3785.02	1.79637E-06	0.000002	2.03632E-07
3795.01	1.79644E-06	0.000002	2.03557E-07
3805.03	1.80979E-06	0.000002	1.90208E-07
3815.02	1.80212E-06	0.000002	1.97883E-07
3825.01	1.80787E-06	0.000002	1.92131E-07
3835.02	1.81746E-06	0.000002	1.8254E-07
3845.02	1.8129E-06	0.000002	1.87104E-07
3855.02	1.81786E-06	0.000002	1.82137E-07
3865.01	1.81325E-06	0.000002	1.86746E-07
3875	1.82493E-06	0.000002	1.75067E-07
3885.01	1.8392E-06	0.000002	1.60797E-07
3895.01	1.81322E-06	0.000002	1.86782E-07
3905.02	1.82314E-06	0.000002	1.76861E-07
3915.01	1.83119E-06	0.000002	1.68811E-07
3925.02	1.83437E-06	0.000002	1.65634E-07
3935.01	1.83494E-06	0.000002	1.65059E-07
3945.02	1.84097E-06	0.000002	1.5903E-07
3955.01	1.83024E-06	0.000002	1.69757E-07
3965.02	1.81992E-06	0.000002	1.80076E-07
3975.01	1.8327E-06	0.000002	1.67301E-07
3985.01	1.83232E-06	0.000002	1.67677E-07
3995.01	1.82727E-06	0.000002	1.72729E-07
4005.01	1.829E-06	0.000002	1.70998E-07
4015	1.83574E-06	0.000002	1.64259E-07
4025.01	1.8553E-06	0.000002	1.44703E-07
4035.02	1.83902E-06	0.000002	1.60984E-07
4045.02	1.83377E-06	0.000002	1.66229E-07
4055.02	1.84264E-06	0.000002	1.57357E-07
4065.02	1.84487E-06	0.000002	1.55126E-07
4075.02	1.83911E-06	0.000002	1.60888E-07
4085.01	1.84273E-06	0.000002	1.57266E-07
4095.01	1.85109E-06	0.000002	1.48912E-07
